"Journal, Volume (Page)",Author,Study Type,Year,MIGs (Y or N),Wash Out,Wash out baseline,Baseline wash out SD,Wash out IOP period,Wash out IOP ,Wash out SD,Types of MIGS (if any),Age (Mean),Age (Std Dev),% Male,% Female,% OAG,% ACG,% NTG,% PXG,acuteangleclosure,Note on Type of Glaucoma,PreOpEyes,PreOpIOPMean,PreOpIOPStdDev,Eyes6mo,MeanIOP6mo,MeanIOPsd6mo,IOPchangemean6m,IOPchangesd6mo,Eyes12mo,MeanIOP12mo,MeanIOPsd12mo,IOPchangemean12m,IOPchangeSD12mo,LastPeriodofEyes,TimeofLastPostOp,LastPeriodIOPMean,LastPeriodIOPStdDev,LastPeriodAbsIOPChangeMean,LastPeriodAbsIOPChangeStd,RxPreOpMean,RxPreOpStdDev,RxPostOpMean,RxPostOpStdDev,VisualAcuityPreOpMean,VisualAcuityPreOpStdDev,VisualAcuityPostOpMean,VisualAcuityPostOpStdDev,Notes,Visual Acuity Post-Op (Std Dev)LLL,Notes
"OSL, 28(469-475)",Yalvac et al.,Retrospective,1997,N,N,,,,,,-,80.6,5.1,25.71,74.29,100,0,0,0,N,"54% PXG, 34% POAG, 12% PACG",35,19.7,4.6,35,16.3,3.1,-3.4,4.04,-,-,-,-,-,-,-,-,-,-,-,1.7,0.7,-,-,,,0.21,0.13,-,-,-
"AO, 117(1311-1318)",Jacobi et al.,Prospective,1999,N,N,,,,,,-,71.3,6.1,45.45,54.55,0,0,0,100,N,,22,32,7.7,17,18.5,1.7,-,-,16,18.4,1.7,-,-,13,24 mo,18,1.3,-,-,2.2,0.8,1.1,0.8,,,-,-,-,-,-
"OSL, 30(37-40)",Kim et al.,Retrospective,1999,N,N,,,,,,-,70,-,38.71,61.29,100,0,0,0,N,,31,18.1,3.1,-,-,-,-,-,-,-,-,-,-,31,16.4 mo,15.2,2.9,-,-,1.7,-,0.7,-,,,-,-,-,-,-
"AO, 117(1311-1318)",Jacobi et al.,Prospective,1999,Y,N,,,,,,Trabecular Aspiration,-,-,-,-,100,-,-,-,N,POAG,26,31.9,8,-,-,-,-,-,-,-,-,-,-,26,30 mo,18.8,2.5,-,-,2.1,0.9,0.8,0.6,,,-,-,-,-,-
"JCRS, 27(1779-1786)",Hayashi et al.,Prospective,2001,N,N,,,,,,-,73.5,7.9,50,50,100,0,0,0,N,"29% PXG, some NTG",68,20.7,5.4,68,16.1,4.3,-4.5,4.6,50,16.3,4.2,-4.3,4.2,50,24 mo,15.2,3.8,-5.3,4.8,1.4,-,0.8,-,,,-,-,-,-,had additional trabeculectomy
"JCRS, 27(1779-1786)",Hayashi et al.,Prospective,2001,N,N,,,,,,-,73.4,7.3,28.38,71.62,0,100,0,0,N,8% PXG,74,21.4,3.9,74,15.3,2.8,-6.1,3.6,74,15.3,3.6,-6,3.8,72,24 mo,14.5,2.6,-7.2,3.5,1.3,-,0.6,-,,,-,-,-,-,-
"AAO, 109(1597-1603)",Jacobi et al.,Prospective,2002,N,N,,,,,,-,68.4,7.2,37.2,62.8,0,100,0,0,Y,100% Acute ACG,43,40.5,7.6,-,-,-,-,-,-,-,-,-,-,-,10.2 +/- 3.4 mo,17.8,3.4,-22.7,3.2,-,-,0.18,0.45,,,0.7,0.23,0.18,0.21,-
"JCRS, 31(479-483)",Mathalone et al.,Retrospective,2005,N,N,,,,,,-,80,7,52.94,47.06,100,0,0,0,N,,58,16.3,4.5,-,-,-,-,-,34,14.8,2.5,-1.5,4.4,24,24 mo,15.1,3.2,-1.9 ,4.9,1.5,0.9,1.1,1.12,-0.38,0.9,-,-,-,-,-
"JMAT, 88(S21-S25)",Leelachaikul et al.,Retrospective,2005,N,N,,,,,,-,75,7,48.28,51.72,100,0,0,0,N,,58,16.5,3.8,-,-,-,-,-,58,15.1,2.5,-1.4,3.8,54,18 mo,15.2,3.7,-1.6,4.2,1.2,0.58,0.99,0.95,-0.41,0.84,-,-,-,-,-
"JMAT, 88(S121-S125)",Euswas et al.,Retrospective,2005,N,N,,,,,,-,55,6.5,21.43,78.57,0,100,0,0,N,100% CACG PAS less than 180,34,20,2.5,34,18.1,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,-,0.03,-,,,-,-,-,-,-
"JMAT, 88(S121-S125)",Euswas et al.,Retrospective,2005,N,N,,,,,,-,55,6.5,21.43,78.57,0,100,0,0,N,100% CACG PAS more than 180 (severe),14,22,3.8,14,17.1,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,1.8,-,1.4,-,,,-,-,-,-,-
"BJO, 90(1014-1018)",Damji et al.,Prospective,2006,N,N,,,,,,-,73.99,10.78,31.03,68.97,100,0,0,0,N,no XFS,29,18.52,3.52,22,-,-,-1.55,4.95,21,-,-,-1.67,3.67,24,24 mo,-,-,-1.54,4.21,-,-,-,-,,,0.52,0.31,-,-,-
"BJO, 90(1014-1018)",Damji et al.,Prospective,2006,N,N,,,,,,-,72.49,6.32,31.03,68.97,0,0,0,100,N,XFS ,29,19.81,2.9,25,-,-,-4.08,2.95,27,-,-,-3.2,3.22,27,24 mo,-,-,-3.15,4.06,-,-,-,-,,,0.77,0.43,-,-,-
"JG, 15(494-498)",Shingleton et al. ,Retrospective,2006,N,N,,,,,,-,77.6,7,45.84,54.16,100,0,0,0,N,16% PXG,55,18.4,3.4,-,-,-,-,-,-,-,-,-,-,55,36 mo,-,-,-1.4,3.3,1.1,0.5,1,0.6,,,0.59,0.41,0.31,0.3,-
"JG, 15(47-52)",Lai et al.,Prospective,2006,N,N,,,,,,-,73.7,8.1,42.86,57.14,0,100,0,0,N,100% PACG,21,19.7,6.1,-,-,-,-,-,21,15.5,3.9,-,-,-,-,-,-,-,-,1.91,0.77,0.52,0.87,,,0.8,0.3,0.6,0.4,"numbers from final follow up, but put in 1 yr column because that was the minimum requirement"
"JCRS, 33(1209-1216)",Shoji et al. ,Retrospective,2007,N,N,,,,,,-,74.9,7,14.29,85.71,100,0,0,0,N,,35,16.7,1.4,35,14.7,2.1,-1.9,2.3,32,15.8,2.7,-0.7,2.6,20,36 mo,15.6,3.4,-1,3,0.8,0.7,0.8,-,,,0.39,0.27,0.73,0.4,-
"JCRS, 33(1209-1216)",Shoji et al. ,Retrospective,2007,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,31,17.2,1.5,-,-,-,-,-,-,-,-,-,-,16,36 mo,14.1,1.6,-3.1,1.8,1,0.9,0.4,-,,,-,-,-,-,-
"JCRS, 34(1834-1841)",Shingleton et al. ,Retrospective,2008,N,N,,,,,,-,78.2,7,29.17,70.83,0,0,0,100,N,,51,18,4,-,-,-,-,-,-,-,-,-,-,51,60 mo,16.9,3.4,-,-,1.6,0.89,1,1.1,,,0.59,0.41,0.31,0.3,-
"AAO, 115(2167-2173)",Tham et al.,Prospective,2008,N,N,,,,,,-,71.9,6.7,37.14,62.86,0,100,0,0,N,100% CACG,35,16.3,3,35,14.7,2.8,-,-,35,14.3,2.9,-,-,35,24 mo,14.5,3.1,-,-,2.2,0.8,1.1,1.2,,,0.8,0.3,0.4,0.3,-
"AAO, 115(1134-1140)",Lam et al.,Prospective,2008,N,N,,,,,,-,72.3,7.3,16.13,83.87,0,100,0,0,Y,100% APAC,31,59.7,8.7,31,12.7,3.1,-,-,31,12.1,2.6,-,-,30,18 mo,12.6,1.9,-,-,0.39,0.61,0.03,0.18,,,0.57,0.4,0.28,0.24,-
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,71.8,9.12,-,-,100,0,0,0,N,,52,18.44,4.83,-,-,-,-,-,-,-,-,-,-,52,14.4 +/- 4.1 mo,14.43,4.05,-4.01,4.01,1.53,0.57,1.36,0.59,,,-,-,-,-,-
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,71.8,9.12,-,-,0,0,0,100,N,Open angle ALL PXG,19,20.6,3.32,-,-,-,-,-,-,-,-,-,-,19,15.1 +/- 2.1 mo,15.05,2.05,-5.55,3.32,1.74,0.73,1.16,0.76,,,-,-,-,-,-
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,73.56,6.38,-,-,0,100,0,0,N,,25,19.54,5.24,-,-,-,-,-,-,-,-,-,-,25,14.5 +/- 4.4 mo,14.45,4.44,-5.09,4.83,1.52,0.58,1.24,0.66,,,-,-,-,-,-
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,73.56,6.38,-,-,0,0,0,100,N,Closed angle ALL PXG,4,22.92,3.78,-,-,-,-,-,-,-,-,-,-,4,11.3 +/- 4.5 mo,11.25,4.48,-11.67,1.57,1.5,0.57,1,0,,,-,-,-,-,-
"JMAT, 91(303-308)",Pachimkul et al.,Prospective,2008,N,N,,,,,,-,68.5,7.85,32.61,67.39,0,100,0,0,N,"97% CACG, 3% ACG",58,23.3,10,58,14.8,6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,0.7,-,-,,,0.92,0.69,0.53,0.69,-
"AAO, 116(725-731)",Tham et al.,Prospective,2009,N,N,,,,,,-,70.3,7.4,33.33,66.67,0,100,0,0,N,100% CACG,27,24.4,6.1,27,16.3,3.5,-,-,27,15.5,3.2,-,-,27,24 mo,16.1,4.1,-,-,3.3,1.1,1.7,1.3,,,0.8,0.7,0.6,0.7,-
"JCRS, 36(783-789)",Lee et al.,Retrospective,2010,N,N,,,,,,-,68.8,8.8,50,50,0,100,0,0,Y,100% Phacomorphic,26,49,10.4,-,-,-,-,-,-,-,-,-,-,26,48 mo,13.2,2.8,-,-,-,-,0.1,-,,,-,-,-,-,-
"JCRS, 36(407-412)",Fea et. al,Prospective,2010,N,Y,-,-,16mo,19.2,3.5,-,64.9,3.1,-,-,100,0,0,0,N,POAG,21,17.3,3,-,-,-,-,-,-,-,-,-,-,21,15 mo,15.7,1.1,-1.6,3.2,1.9,0.7,1.3,1,-,-,-,-,-,-,-
"JCRS, 36(407-412)",Fea et. al,Prospective,2010,Y,Y,-,-,16mo,16.6,3.1,iStent,64.5,3.4,-,-,100,0,0,0,N,POAG,12,17.9,2.6,-,-,-,-,-,-,-,-,-,-,12,15 mo,14.8,1.2,-3.2,3,2,0.9,0.4,0.7,-,-,-,-,-,-,-
"AAO, 118(459-467)",Samuelson et al.,Prospective,2011,N,Y,25.5,3.7,-,-,-,-,73,9,42,58.00,100,0,0,0,N,"92% POAG, 6% PXG, 2% PDG",123,18,3,-,-,-,-,-,123,-,-,-1.0,3.3,123,12 mo,-,-,-1.0,3.3,1.5,0.6,0.4,0.7,-1,0.8,0.36,0.26,-,-,-
"JG, 20(566-570)",Liu et al.,Retrospective,2011,N,N,,,,,,-,73.4,8,46.4,53.60,0,100,0,0,N,,56,16.4,4,54,13.6,2.85,-,-,50,13.5,2.88,-,-,30,24 mo,12.6,2.28,-,-,1.8,1,1,-,,,0.48,0.2,-,-,-
"AAO, 118(459-467)",Samuelson et al.,Prospective,2011,Y,Y,25.2,3.5,-,-,-,iStent,-,-,-,-,100,-,-,-,N,POAG,117,18.7,3.3,-,-,-,-,-,117,-,-,-1.5,3,117,12 mo,-,-,-1.5,3,1.5,0.7,0.2,0.6,-1.4,0.8,-,-,-,-,-
"JG, 21(545-550)",Shams et al.,Retrospective,2012,N,N,,,,,,-,71,8.3,31,69.00,0,100,0,0,N,35% PAC,55,18.7,7.3,-,-,-,-,-,-,-,-,-,-,55,7.2 mo,14.1,4,-4.5 ,5.4,1.4,1.41,0.96,1.17,-0.44,0.83,0.51,0.36,0.27,0.28,-
"AAO, 119(2274-2281)",Husain et al.,Prospective,2012,N,N,,,,,,-,65.9,-,16,84,0,100,0,0,Y,100% APAC,19,57.4,16.9,-,-,-,-,-,-,-,-,-,-,18,24 mo,12.9,4,-,-,-,-,-,-,,,0.71,0.74,0.37,0.51,-
"JMAT, 95(557-560)",Yudhasompop et al.,Retrospective,2012,N,N,,,,,,-,70,7.88,33.3,66.70,0,100,0,0,N,,60,17.44,3.45,60,12.93,2.49,-4.51,3.04,-,-,-,-,-,-,-,-,-,-,-,1.87,0.77,1.43,1.03,,,0.44,0.29,0.26,0.21,-
"AJO, 155(858-863)",Zhang et al.,Retrospective,2013,N,N,,,,,,-,75.1,10.5,37.21,62.79,100,0,0,0,N,"16% ACG, 6.97% PXG, 1.3% Pigmentary, 1.3 % NTG",43,16.3,3.9,43,14.3,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,0.76,0.58,0.23,0.43,,,0.52,0.41,0.24,0.33,-
"AAO, 120(62-67)",Tham et al.,Prospective,2013,N,N,,,,,,-,66.4,8.1,38.46,61.54,0,100,0,0,N,100% CACG,26,24.1,4.1,26,16.13,-,-8.2,4.2,26,14.6,-,-9.6,4.9,26,24 mo,15.9,3.9,-8.4,6,3.7,0.7,1.5,-,,,0.2,0.06,0.2,0.08,12% underwent secondary trabeculectomy during study period
"GACEO, 251(2195-2199)",Klamann et al.,Retrospective,2013,Y,N,,,,,,Trabecular Aspiration,-,-,-,-,100,-,-,-,N,POAG,28,22.22,6.33,-,-,-,-,-,-,-,-,-,-,28,12 mo,17.12,4.023,-,-,2.33,1.06,2.3,1.3,,,-,-,-,-,-
"GACEO, 251(2195-2199)",Klamann et al.,Retrospective,2013,Y,N,,,,,,Ab interno trabeculectomy,-,-,-,-,100,-,-,-,N,POAG,27,23.41,5.86,-,-,-,-,-,-,-,-,-,-,27,12 mo,14.11,2.317,-,-,2.29,0.98,2,1,,,-,-,-,-,-
"JML, 7(11-16)",Iancu et al.,Prospective,2014,N,N,,,,,,-,71.7,8.27,38.5,61.50,100,0,0,0,N,,38,23.8,2.32,38,21,2.1,-2.1,3.7,38,21.6,2.4,-1.9,3.9,-,-,-,-,-,-,2.66,0.66,2.9,0.53,,,-,-,-,-,-
"JG, 23(316-320)",Arthur et al.,Retrospective,2014,N,N,,,,,,-,74.7,9.8,51.35,48.65,100,0,0,0,N,,37,16.2,4.6,36,14.1,3.3,-,-,34,13.7,3.3,-,-,17,24 mo,14.1,4,-,-,1.4,1.1,1.5,1.2,,,0.5,0.7,0.2,0.2,-
"JG, 23(316-320)",Arthur et al.,Retrospective,2014,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,32,18.2,5.1,26,-,-,-,-,22,-,-,-,-,11,24 mo,12.9,3.8,-,-,1.3,0.7,0.3,0.5,,,-,-,-,-,-
"JG, 24(575-582)",Moghimi et al.,Prospective,2015,N,N,,,,,,-,63.2,6.9,41.3,58.7,0,100,0,0,N,,46,22.3,6.3,46,13.9,3.7,-,-,46,14,3.7,-8.3 ,6.8,-,-,-,-,-,-,1.2,1.1,0.1,0.3,,,0.49,0.28,0.27,0.2,-
"JCRS, 41(1470-1477)",Dada et al.,Prospective,2015,N,N,,,,,,-,57.2,4.2,45.45,54.55,0,100,0,0,N,,44,27.1,1.55,44,13.4,1.17,-,-,44,13.2,1.12,-14.29,1.83,-,-,-,-,-,-,2.02,0.55,0.136,0.35,,,0,0,0,0,-
"BMCO, 15(88)",Hou et al.,Prospective,2015,N,N,,,,,,-,62.32,8.48,20,80,0,100,0,0,Y,100% APAC,25,52.6,8.15,25,14.4,3.01,-,-,25,16.64,3.08,-,-,-,-,-,-,-,-,-,-,0.48,-,,,1.23,0.43,0.8,0.39,-
"JG, 24(647-655)",Shao et al.,Prospective,2015,N,N,,,,,,-,69.85,8.56,-,-,0,100,0,0,N,,20,23.45,7.99,20,16.4,5.58,-,-,-,-,-,-,-,-,-,-,-,-,-,2.95,1,0.65,1.09,,,0.69,0.31,0.22,0.24,-
"IO, 35(173-178)",Dias-Santos,Prospective,2015,N,N,,,,,,-,69.5,11.34,26.67,73.33,0,100,0,0,N,Includes PAC,15,19.93,8.3,-,-,-,-,-,-,-,-,-,-,15,31.1 +/-4.9 mo,14.53,1.51,-,-,1.67,1.18,0.93,0.59,,,0.64,0.34,0.87,0.21,-
"CEO, 43(531-539)",Siegel et al.,Retrospective,2015,N,N,,,,,,-,78,8.1,29.6,70.4,100,0,0,0,N,"55.6 % POAG, 18.5% NTG, 18.5% OAG, 7.4% CACG",52,17.7,4.4,-,16,3.3,-,-,-,16.2,3.4,-,-,-,36 mo,15.5,3.6,-,-,1.5,0.7,1.3,0.61,,,-,-,-,-,-
"JG, 24(575-582)",Moghimi et al.,Prospective,2015,Y,N,,,,,,Viscogonioplasty,-,-,-,-,100,-,-,-,N,POAG,45,23.3,7.3,-,-,-,-,-,-,-,-,-,-,45,12 mo,14.5,2.5,-,-,1.7,1.1,0.4,0.8,,,-,-,-,-,-
"JCRS, 41(1716-1724)",Khan et al.,Retrospective,2015,Y,N,,,,,,2 site iStent,-,-,-,-,100,-,-,-,N,POAG,49,19.6,5.2,-,-,-,-,-,-,-,-,-,-,49,12 mo,14.3,3.1,-,-,2.86,0.91,1.22,1.28,,,-,-,-,-,-
"JCRS, 41(1716-1724)",Khan et al.,Retrospective,2015,Y,N,,,,,,Ab interno Trabeculotomy,-,-,-,-,100,-,-,-,N,POAG,52,20.6,6.8,-,-,-,-,-,-,-,-,-,-,52,12 mo,17.3,6.5,-,-,2.9,1.1,2.15,1.35,,,-,-,-,-,-
"CJO, 50(197-201)",Sheybani et al.,Retrospective,2015,Y,N,,,,,,Endocyclophotocoagulation,-,-,-,-,100,-,-,-,N,POAG,83,17.6,9,-,-,-,-,-,-,-,-,-,-,83,7.4 mo,14.4,3.65,-,-,2,-,1.51,-,,,-,-,-,-,-
"AAO, 122(1283-1293)",Pfeiffer et al.,Prospective,2015,N,Y,26.6,4.2,12mo,17.4,3.7,-,-,-,-,-,100,-,-,-,N,POAG,50,18.9,3.3,-,-,-,-,-,49,17.4,3.7,-,-,47,24 mo,19.2,4.7,-,-,2,1,1,1,,,-,-,-,-,24mo follow up has wash out
"JCRS, 41(1905-1909)",Sheybani et al.,Prospective,2015,Y,N,,,,,,Gelatin stent,-,-,-,-,100,-,-,-,N,POAG,37,22.4,4.2,-,-,-,-,-,-,-,-,-,-,34,12 mo,15.4,3,-,-,2.5,1.4,0.9,1,,,-,-,-,-,-
"GACEO, 253(591-599)",Rekas et al.,Prospective,2015,Y,N,,,,,,Canoloplasty,-,-,-,-,100,-,-,-,N,POAG,29,19,6.9,-,-,-,-,-,-,-,-,-,-,29,12 mo,12.6,2.7,-,-,2.64,0.68,0.27,0.67,,,-,-,-,-,-
"JG, 24(647-655)",Shao et al.,Prospective,2015,Y,N,,,,,,Goniosynechialysis,-,-,-,-,100,-,-,-,N,POAG,23,22.12,5.98,-,-,-,-,-,-,-,-,-,-,23,6 mo,13.65,2.46,-,-,2.957,1.15,0,0,,,-,-,-,-,-
"JG, 24(543-549)",Schoenberg et al.,Retrospective,2015,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,36,19.5,5.7,-,-,-,-,-,-,-,-,-,-,36,12 mo,14.4,4.4,-,-,3,-,0,-,,,-,-,-,-,-
"JG, 24(187-194)",Tetz et al.,Retrospective,2015,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,30,23.5,5.3,25,14,3.9,-,-,27,13.7,4.1,-,-,27,36 mo,13.6,3.6,-,-,1.5,1,0.3,0.5,,,-,-,-,-,-
"CEO, 43(531-539)",Siegel et al.,Retrospective,2015,Y,N,,,,,,Endocyclophotocoagulation,-,-,-,-,100,-,-,-,N,POAG,261,17.2,4.8,-,-,-,-,-,-,-,-,-,-,-,36 mo,14.7,3.1,-,-,1.3,0.6,0.2,0.6,,,-,-,-,-,-
"AAO, 122(1283-1293)",Pfeiffer et al.,Prospective,2015,Y,Y,26.3,4.4,12mo,16.6,2.8,Hydrus Microstent,-,-,-,-,100,-,-,-,N,POAG,50,18.6,3.8,-,-,-,-,-,48,16.6,2.8,,,43,24mo,16.9,3.3,,,2,1,0.5,1,,,,,,,24mo follow up has wash out
"Lancet, 388(1389-1397)",Azuara-Blanco et al.,Prospective,2016,N,Y,29.5,8.2,-,-,-,-,67,-,41,59,0,100,0,0,N,38% PAC,208,29.5,8.2,195,15.7,4.3,-,-,192,15.9,3.2,-,-,182,36 mo,16.6,3.5,-,-,1,1,0.4,0.8,,,-,-,-,-,-
"JG, 25(e372-e376) ",Lee et al.,Retrospective,2016,N,N,,,,,,-,70.43,6.23,22,78.00,0,100,-,-,N,CACG no progression,42,14.24,4.83,-,-,-,-,-,-,-,-,-,-,42,43.45 +/- 17.5 mo,12.65,2.17,-,-,1.05,0.84,0.69,0.68,,,-,-,-,-,-
"JG, 25(e372-e376) ",Lee et al.,Retrospective,2016,N,N,,,,,,-,70.43,6.23,22,78.00,0,100,-,-,N,CACG progression,14,15.07,3.89,-,-,-,-,-,-,-,-,-,-,14,50.14 +/- 17.2 mo,13.03,3.42,-,-,1.71,0.94,1.43,0.54,,,-,-,-,-,-
"JG, 25(e259-e264)",Siak et al.,Prospective,2016,N,N,,,,,,-,70.6,5.5,33.3,66.70,0,100,0,0,N,,24,16.5,4.1,24,14.3,3.5,-,-,24,14.4,3.5,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-
"JG, 25(e259-e264)",Siak et al.,Prospective,2016,N,N,,,,,,-,67.6,8.1,63.3,37.70,100,0,0,0,N,,30,16.4,4,30,14.9,2,-,-,30,14.3,2.4,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-
"O, 123(2103-2112)",Vold et al.,Prospective,2016,N,Y,24.5,3,24mo,19.3,3.3,-,70,8,45,55.00,100,0,0,0,N,All OAG,131,24.5,3,-,-,-,-,-,116,-,-,-6.2,3.8,116,24 mo,19.3,3.3,-5.4,3.9,1.3,1,0.6,0.8,,,-,-,-,-,All wash out IOP's
"PLoS ONE, 11(4)e0153585",Neiweem et al.,Retrospective,2016,Y,N,24.4,2.8,,,,Ab Interno Trabeculectomy,-,-,-,-,100,-,-,-,N,POAG,352,19.9,5.9,-,-,-,-,-,-,-,-,-,-,352,12 mo,15.4,3.6,-,-,2.4,1.1,1.7,1.2,,,-,-,-,-,-
"PLoS ONE, 11(2)e0149384",Parikh et al.,Retrospective,2016,Y,N,,,,,,Trabectome,-,-,-,-,100,-,-,-,N,POAG,498,19.7,5.8,-,-,-,-,-,-,-,-,-,-,498,12 mo,15.5,3.6,-,-,2.3,1.1,1.7,1.3,,,-,-,-,-,-
"O, 123(2103-2112)",Vold et al.,Prospective,2016,Y,Y,24.4,2.8,24mo,17,3.4,Cypass,70,8,47,53.00,100,0,0,0,N,All OAG,374,24.4,2.8,-,-,-,-,-,332,-,-,-7.9,4.1,332,24 mo,17,3.4,-7.4,4.4,1.4,0.9,0.2,0.6,,,-,-,-,-,All wash out IOP's
